id,name,lng,lat
StopArea:OCE87694109,Le Creusot-TGV,4.49943,46.765339
StopArea:OCE87703975,Nîmes Pont du Gard,4.507678,43.816809
StopArea:OCE87713040,Dijon,5.027256,47.323411
StopArea:OCE87713131,Montbard,4.336212,47.618741
StopArea:OCE87713412,Dole,5.48806,47.09615
StopArea:OCE87713545,Beaune,4.848423,47.023014
StopArea:OCE87718007,Besançon Viotte,6.021943,47.247049
StopArea:OCE87722025,Lyon Perrache,4.825777,45.748508
StopArea:OCE87723197,Lyon Part Dieu,4.859409,45.760596
StopArea:OCE87725002,Chalon-sur-Saône,4.843479,46.781622
StopArea:OCE87725689,Mâcon,4.824887,46.302572
StopArea:OCE87725705,Mâcon - Loché TGV,4.778924,46.282912
StopArea:OCE87726000,Saint-Étienne Châteaucreux,4.399722,45.443366
StopArea:OCE87741009,Chambéry - Challes-les-Eaux,5.919547,45.571302
StopArea:OCE87741132,Aix-les-Bains le Revard,5.909371,45.688161
StopArea:OCE87741306,Saint-Avre - La Chambre,6.302867,45.35312
StopArea:OCE87741645,Albertville,6.383167,45.672977
StopArea:OCE87741728,Moûtiers-Salins-Brides-les-B.,6.531399,45.48647
StopArea:OCE87741769,Aime - La Plagne,6.648614,45.554387
StopArea:OCE87741777,Landry,6.733849,45.574213
StopArea:OCE87741793,Bourg-Saint-Maurice,6.771273,45.619036
StopArea:OCE87742007,Modane,6.659139,45.193555
StopArea:OCE87742320,Saint-Jean-de-Maurienne Arvan,6.354716,45.277542
StopArea:OCE87742361,Saint-Michel - Valloire,6.471914,45.216916
StopArea:OCE87745000,Bellegarde,5.823483,46.109425
StopArea:OCE87745497,Annemasse,6.236431,46.199245
StopArea:OCE87745646,Thonon-les-Bains,6.481673,46.368989
StopArea:OCE87745679,Évian-les-Bains,6.577469,46.397916
StopArea:OCE87746008,Annecy,6.121826,45.902047
StopArea:OCE87746370,Cluses,6.582771,46.061468
StopArea:OCE87746438,Sallanches - Combloux - Megève,6.636458,45.935699
StopArea:OCE87746479,Saint-Gervais-les-Bains-Le Fayet,6.701331,45.906423
StopArea:OCE87747006,Grenoble,5.714548,45.191491
StopArea:OCE87751008,Marseille Saint-Charles,5.380407,43.302666
StopArea:OCE87753004,Miramas,4.999565,43.580737
StopArea:OCE87753657,Arles,4.632105,43.684863
StopArea:OCE87755009,Toulon,5.929404,43.128353
StopArea:OCE87755447,Les Arcs - Draguignan,6.482424,43.455725
StopArea:OCE87755629,Hyères,6.124207,43.108902
StopArea:OCE87756056,Nice-Ville,7.261904,43.704556
StopArea:OCE87757526,Saint-Raphaël Valescure,6.769037,43.423631
StopArea:OCE87757625,Cannes,7.019711,43.553908
StopArea:OCE87757674,Antibes,7.119913,43.585971
StopArea:OCE87761007,Valence,4.893288,44.928081
StopArea:OCE87762906,Lyon Saint-Exupéry TGV,5.074969,45.721109
StopArea:OCE87763029,Valence TGV Rhône-Alpes Sud,4.978652,44.991907
StopArea:OCE87764001,Montélimar,4.744726,44.558936
StopArea:OCE87765008,Avignon Centre,4.805269,43.941923
StopArea:OCE87765107,Orange,4.820058,44.137485
StopArea:OCE87773002,Montpellier Saint-Roch,3.880674,43.604738
StopArea:OCE87773200,Sète,3.696571,43.412641
StopArea:OCE87775007,Nîmes,4.365872,43.832313
StopArea:OCE87781005,Béziers,3.218895,43.336295
StopArea:OCE87781104,Narbonne,3.005667,43.190618
StopArea:OCE87781278,Agde,3.466203,43.31728
StopArea:OCE87784009,Perpignan,2.879355,42.696096
StopArea:OCE88140010,Bruxelles Midi,4.336,50.836
IDFM:62558,Combs-la-Ville - Quincy,2.5479925008956568,48.66774437556614
IDFM:63954,Grâce de Dieu,2.175926563788442,48.80382101169773
IDFM:68980,Changis - Saint-Jean,3.0250921698928943,48.958658457382356
IDFM:66452,Saint-Leu-la-Forêt,2.2424957389535107,49.015348337431384
IDFM:411444,Châteaudun,1.3384330021828876,48.073492940832686
IDFM:73493,Butte Montceleux / Luther King,2.5310069739990855,48.9483106991048
IDFM:67917,Faremoutiers - Pommeuse,2.993702769869873,48.80820369639435
IDFM:61579,Fontainebleau - Avon,2.726598968975019,48.4160444787503
IDFM:67325,Bruyères-sur-Oise,2.3257124566445917,49.154941316688095
IDFM:66803,Saint-Ouen-l'Aumône,2.1063627485438583,49.045800906260055
IDFM:74348,Gisors,1.7847635457732476,49.28540169586443
IDFM:72120,Courbevoie - Europe,2.2565867839116374,48.90503346751412
